onset	duration	trial_type	value	sample	stim_file
1.7265625	0.0	image/25	25	884	nsd/4058.png
2.51953125	0.0	image/7	7	1290	nsd/3164.png
4.087890625	0.0	image/9	9	2093	nsd/3181.png
4.88671875	0.0	image/38	38	2502	nsd/4869.png
5.66015625	0.0	image/45	45	2898	nsd/5301.png
6.494140625	0.0	image/56	56	3325	nsd/5890.png
7.287109375	0.0	image/54	54	3731	nsd/5714.png
8.89453125	0.0	image/119	119	4554	nsd/10046.png
9.7109375	0.0	image/40	40	4972	nsd/4930.png
10.490234375	0.0	image/33	33	5371	nsd/4667.png
11.259765625	0.0	image/36	36	5765	nsd/4786.png
12.044921875	0.0	image/24	24	6167	nsd/4051.png
12.828125	0.0	image/21	21	6568	nsd/3856.png
13.60546875	0.0	image/55	55	6966	nsd/5878.png
14.373046875	0.0	image/15	15	7359	nsd/3682.png
15.162109375	0.0	image/74	74	7763	nsd/7336.png
16.796875	0.0	image/48	48	8600	nsd/5459.png
18.4140625	0.0	image/97	97	9428	nsd/8465.png
19.23046875	0.0	image/82	82	9846	nsd/7859.png
20.025390625	0.0	image/10	10	10253	nsd/3386.png
20.830078125	0.0	image/2	2	10665	nsd/2990.png
21.615234375	0.0	image/98	98	11067	nsd/8509.png
22.408203125	0.0	image/76	76	11473	nsd/7409.png
23.19140625	0.0	image/19	19	11874	nsd/3842.png
23.9609375	0.0	image/6	6	12268	nsd/3157.png
24.748046875	0.0	image/52	52	12671	nsd/5583.png
25.58203125	0.0	image/8	8	13098	nsd/3171.png
26.361328125	0.0	image/96	96	13497	nsd/8435.png
27.166015625	0.0	image/70	70	13909	nsd/7007.png
27.994140625	0.0	image/12	12	14333	nsd/3449.png
28.80078125	0.0	image/27	27	14746	nsd/4156.png
29.595703125	0.0	image/39	39	15153	nsd/4892.png
30.39453125	0.0	image/116	116	15562	nsd/9917.png
32.017578125	0.0	image/111	111	16393	nsd/9680.png
32.833984375	0.0	image/11	11	16811	nsd/3434.png
34.435546875	0.0	image/66	66	17631	nsd/6558.png
36.01953125	0.0	image/102	102	18442	nsd/8843.png
36.796875	0.0	image/100	100	18840	nsd/8646.png
37.619140625	0.0	image/47	47	19261	nsd/5427.png
39.21875	0.0	image/64	64	20080	nsd/6521.png
40.853515625	0.0	image/36	36	20917	nsd/4786.png
41.6875	0.0	image/107	107	21344	nsd/9147.png
42.50390625	0.0	image/26	26	21762	nsd/4129.png
44.103515625	0.0	image/57	57	22581	nsd/6132.png
44.919921875	0.0	image/94	94	22999	nsd/8394.png
45.748046875	0.0	image/8	8	23423	nsd/3171.png
46.55078125	0.0	image/107	107	23834	nsd/9147.png
47.35546875	0.0	image/5	5	24246	nsd/3146.png
48.1328125	0.0	image/58	58	24644	nsd/6199.png
48.91796875	0.0	image/32	32	25046	nsd/4612.png
49.72265625	0.0	image/53	53	25458	nsd/5602.png
50.505859375	0.0	image/23	23	25859	nsd/3951.png
51.31640625	0.0	image/115	115	26274	nsd/9865.png
52.140625	0.0	image/58	58	26696	nsd/6199.png
52.93359375	0.0	image/37	37	27102	nsd/4835.png
53.71875	0.0	image/65	65	27504	nsd/6524.png
54.5234375	0.0	image/42	42	27916	nsd/5106.png
56.140625	0.0	image/78	78	28744	nsd/7480.png
56.94140625	0.0	image/104	104	29154	nsd/8933.png
57.751953125	0.0	image/33	33	29569	nsd/4667.png
58.54296875	0.0	image/71	71	29974	nsd/7039.png
59.326171875	0.0	image/99	99	30375	nsd/8631.png
60.91015625	0.0	image/73	73	31186	nsd/7207.png
61.736328125	0.0	image/86	86	31609	nsd/8006.png
62.521484375	0.0	image/1	1	32011	nsd/2950.png
63.34375	0.0	image/114	114	32432	nsd/9847.png
64.171875	0.0	image/93	93	32856	nsd/8387.png
64.970703125	0.0	image/69	69	33265	nsd/6801.png
65.77734375	0.0	image/21	21	33678	nsd/3856.png
67.4453125	0.0	image/3	3	34532	nsd/3049.png
68.244140625	0.0	image/110	110	34941	nsd/9462.png
69.078125	0.0	image/105	105	35368	nsd/9027.png
69.873046875	0.0	image/10	10	35775	nsd/3386.png
70.6953125	0.0	image/99	99	36196	nsd/8631.png
72.263671875	0.0	image/108	108	36999	nsd/9230.png
73.041015625	0.0	image/109	109	37397	nsd/9434.png
73.845703125	0.0	image/82	82	37809	nsd/7859.png
74.625	0.0	image/48	48	38208	nsd/5459.png
75.408203125	0.0	image/92	92	38609	nsd/8318.png
77.03125	0.0	image/23	23	39440	nsd/3951.png
77.83203125	0.0	image/69	69	39850	nsd/6801.png
78.6484375	0.0	image/46	46	40268	nsd/5338.png
79.4765625	0.0	image/80	80	40692	nsd/7659.png
80.28125	0.0	image/35	35	41104	nsd/4768.png
81.111328125	0.0	image/106	106	41529	nsd/9048.png
81.8984375	0.0	image/19	19	41932	nsd/3842.png
82.7109375	0.0	image/88	88	42348	nsd/8204.png
83.4765625	0.0	image/18	18	42740	nsd/3809.png
84.30078125	0.0	image/47	47	43162	nsd/5427.png
85.09375	0.0	image/32	32	43568	nsd/4612.png
85.876953125	0.0	image/77	77	43969	nsd/7418.png
86.66796875	0.0	image/115	115	44374	nsd/9865.png
87.44921875	0.0	image/38	38	44774	nsd/4869.png
88.28125	0.0	image/62	62	45200	nsd/6489.png
89.068359375	0.0	image/100	100	45603	nsd/8646.png
89.896484375	0.0	image/90	90	46027	nsd/8262.png
90.703125	0.0	image/103	103	46440	nsd/8925.png
91.486328125	0.0	image/91	91	46841	nsd/8274.png
92.3125	0.0	image/40	40	47264	nsd/4930.png
93.1015625	0.0	image/80	80	47668	nsd/7659.png
93.88671875	0.0	image/74	74	48070	nsd/7336.png
94.669921875	0.0	image/87	87	48471	nsd/8109.png
95.46875	0.0	image/75	75	48880	nsd/7366.png
96.25390625	0.0	image/89	89	49282	nsd/8225.png
97.087890625	0.0	image/27	27	49709	nsd/4156.png
97.919921875	0.0	image/11	11	50135	nsd/3434.png
98.697265625	0.0	image/77	77	50533	nsd/7418.png
99.470703125	0.0	image/120	120	50929	nsd/10064.png
100.287109375	0.0	image/15	15	51347	nsd/3682.png
101.099609375	0.0	image/35	35	51763	nsd/4768.png
101.8671875	0.0	image/31	31	52156	nsd/4436.png
102.66796875	0.0	image/72	72	52566	nsd/7120.png
103.455078125	0.0	image/118	118	52969	nsd/10006.png
104.25	0.0	image/1	1	53376	nsd/2950.png
105.05078125	0.0	image/30	30	53786	nsd/4423.png
105.8671875	0.0	image/55	55	54204	nsd/5878.png
106.673828125	0.0	image/108	108	54617	nsd/9230.png
107.47265625	0.0	image/39	39	55026	nsd/4892.png
108.306640625	0.0	image/17	17	55453	nsd/3729.png
109.123046875	0.0	image/7	7	55871	nsd/3164.png
109.951171875	0.0	image/113	113	56295	nsd/9804.png
110.7578125	0.0	image/61	61	56708	nsd/6444.png
111.576171875	0.0	image/37	37	57127	nsd/4835.png
112.3515625	0.0	image/117	117	57524	nsd/9978.png
113.158203125	0.0	image/73	73	57937	nsd/7207.png
113.953125	0.0	image/81	81	58344	nsd/7840.png
114.7421875	0.0	image/85	85	58748	nsd/7954.png
115.55859375	0.0	image/22	22	59166	nsd/3913.png
116.37109375	0.0	image/20	20	59582	nsd/3847.png
